Type,Population_ID,Final_Name,Lat,Long
Wild contemporary,ND-CAS,W-1,46.87575,-97.23206
Wild contemporary,ND-BSP2,W-2,46.85543,-96.48136
Wild contemporary,ND-STARR,W-3,46.72777,-96.8339
Wild contemporary,GAINOR_E,W-4,46.24592,-97.40595
Wild contemporary,KRAUSE,W-5,46.02156,-97.34618
Wild contemporary,SCHULER,W-6,46.01766,-97.05374
Commercial,ST17,C-1,45.5895,-95.76
Commercial,MaximilianSunflower,C-2,46.8697,-96.8903
Commercial,PrairieRestorations,C-3,44.40313,-99.99973
Ex situ,PI 586893,ES-A,47.43333333,-98.33333333
Ex situ,PI 586891,ES-B,46.91666667,-97.18333333
Ex situ,PI 586892,ES-C,47.43333333,-98.11666667
Ex situ,PI 586904,ES-D,46.35,-98.33333333
Ex situ,PI650011,ES-E,46.98333333,-96.75
Ex situ,PI 650010,ES-F,46.65,-97.23333333
